Employee ID,Age,Attrition,Business Travel,Department,Distance From Home,Education,Education Field,Environment Satisfaction,Gender,Job Involvement,Job Role,Job Satisfaction,Marital Status, Monthly Income ,Experience,Over Time,WorkLifeBalance,Performance Rating
1,41,Yes,Travel_Rarely,Sales,1,Intermediate,Life Sciences,2,Female,High,Sales Executive,4,Single," $5,993 ",8,Yes,1,3
2,49,No,Travel_Frequently,Research & Development,8,SSC,Life Sciences,3,Male,Medium,Research Scientist,2,Married," $5,130 ",1,No,3,4
4,37,Yes,Travel_Rarely,Research & Development,2,Intermediate,Medical,4,Male,Medium,Laboratory Technician,3,Single," $2,090 ",6,Yes,3,3
5,33,No,Travel_Frequently,Research & Development,3,Masters,Life Sciences,4,Female,High,Research Scientist,3,Married," $2,909 ",1,Yes,3,3
7,27,No,Travel_Rarely,Research & Development,2,SSC,Medical,1,Male,High,Laboratory Technician,2,Married," $3,468 ",9,No,3,3
8,32,No,Travel_Frequently,Research & Development,2,Intermediate,Life Sciences,4,Male,High,Laboratory Technician,4,Single," $3,068 ",0,No,2,3
10,59,No,Travel_Rarely,Research & Development,3,Graduate,Medical,3,Female,Very High,Laboratory Technician,1,Married," $2,670 ",4,Yes,2,4
11,30,No,Travel_Rarely,Research & Development,24,SSC,Life Sciences,4,Male,High,Laboratory Technician,3,Divorced," $2,693 ",1,No,3,4
12,38,No,Travel_Frequently,Research & Development,23,Graduate,Life Sciences,4,Male,Medium,Manufacturing Director,3,Single," $9,526 ",0,No,3,4
13,36,No,Travel_Rarely,Research & Development,27,Graduate,Medical,3,Male,High,Healthcare Representative,3,Married," $5,237 ",6,No,2,3
14,35,No,Travel_Rarely,Research & Development,16,Graduate,Medical,1,Male,Very High,Laboratory Technician,2,Married," $2,426 ",0,No,3,3
15,29,No,Travel_Rarely,Research & Development,15,Intermediate,Life Sciences,4,Female,Medium,Laboratory Technician,3,Single," $4,193 ",0,Yes,3,3
16,31,No,Travel_Rarely,Research & Development,26,SSC,Life Sciences,1,Male,High,Research Scientist,3,Divorced," $2,911 ",1,No,2,3
18,34,No,Travel_Rarely,Research & Development,19,Intermediate,Medical,2,Male,High,Laboratory Technician,4,Divorced," $2,661 ",0,No,3,3
19,28,Yes,Travel_Rarely,Research & Development,24,Graduate,Life Sciences,3,Male,Medium,Laboratory Technician,3,Single," $2,028 ",5,Yes,3,3
20,29,No,Travel_Rarely,Research & Development,21,Masters,Life Sciences,2,Female,Very High,Manufacturing Director,1,Divorced," $9,980 ",1,No,3,3
21,32,No,Travel_Rarely,Research & Development,5,Intermediate,Life Sciences,1,Male,Very High,Research Scientist,2,Divorced," $3,298 ",0,Yes,2,3
22,22,No,Non-Travel,Research & Development,16,Intermediate,Medical,4,Male,Very High,Laboratory Technician,4,Divorced," $2,935 ",1,Yes,2,3
23,53,No,Travel_Rarely,Sales,2,Masters,Life Sciences,1,Female,Medium,Manager,4,Married," $15,427 ",2,No,3,3
24,38,No,Travel_Rarely,Research & Development,2,Graduate,Life Sciences,4,Male,High,Research Scientist,4,Single," $3,944 ",5,Yes,3,3
26,24,No,Non-Travel,Research & Development,11,Intermediate,Medical,1,Female,Very High,Manufacturing Director,3,Divorced," $4,011 ",0,No,2,3
27,36,Yes,Travel_Rarely,Sales,9,Masters,Life Sciences,3,Male,Medium,Sales Representative,1,Single," $3,407 ",7,No,3,4
28,34,No,Travel_Rarely,Research & Development,7,Masters,Life Sciences,1,Female,High,Research Director,2,Single," $11,994 ",0,No,3,3
30,21,No,Travel_Rarely,Research & Development,15,Intermediate,Life Sciences,3,Male,High,Research Scientist,4,Single," $1,232 ",1,No,3,3
31,34,Yes,Travel_Rarely,Research & Development,6,SSC,Medical,2,Male,High,Research Scientist,1,Single," $2,960 ",2,No,3,3
32,53,No,Travel_Rarely,Research & Development,5,Graduate,Medical,3,Female,High,Manager,3,Divorced," $19,094 ",4,No,2,3
33,32,Yes,Travel_Frequently,Research & Development,16,SSC,Life Sciences,2,Female,Low,Research Scientist,1,Single," $3,919 ",1,Yes,3,4
35,42,No,Travel_Rarely,Sales,8,Masters,Marketing,3,Male,High,Sales Executive,2,Married," $6,825 ",0,No,3,3
36,44,No,Travel_Rarely,Research & Development,7,Masters,Medical,1,Female,Medium,Healthcare Representative,4,Married," $10,248 ",3,No,3,3
38,46,No,Travel_Rarely,Sales,2,Masters,Marketing,2,Female,High,Manager,1,Single," $18,947 ",3,No,2,3
39,33,No,Travel_Rarely,Research & Development,2,Graduate,Medical,3,Male,High,Laboratory Technician,4,Single," $2,496 ",4,No,3,3
40,44,No,Travel_Rarely,Research & Development,10,Masters,Medical,4,Male,High,Healthcare Representative,4,Married," $6,465 ",2,Yes,4,3
41,30,No,Travel_Rarely,Research & Development,9,Intermediate,Medical,4,Male,Medium,Laboratory Technician,3,Single," $2,206 ",1,No,3,3
42,39,Yes,Travel_Rarely,Sales,5,Graduate,Technical Degree,4,Male,High,Sales Representative,4,Married," $2,086 ",3,No,4,3
45,24,Yes,Travel_Rarely,Research & Development,1,Graduate,Medical,2,Male,High,Research Scientist,4,Married," $2,293 ",2,Yes,2,3
46,43,No,Travel_Rarely,Research & Development,2,Intermediate,Medical,4,Female,Very High,Research Scientist,3,Divorced," $2,645 ",1,No,2,3
47,50,Yes,Travel_Rarely,Sales,3,Intermediate,Marketing,1,Male,Medium,Sales Representative,3,Married," $2,683 ",1,Yes,3,3
49,35,No,Travel_Rarely,Sales,2,Graduate,Marketing,4,Female,High,Sales Representative,4,Married," $2,014 ",1,No,3,3
51,36,No,Travel_Rarely,Research & Development,5,Masters,Life Sciences,2,Female,Medium,Research Scientist,1,Married," $3,419 ",9,Yes,4,3
